,Artist,Title,Min,Median,Higher,Min_290523,Median_290523,Higher_290523,Min_070623,Median_070623,Higher_070623,Min_120623,Median_120623,Higher_120623,Min_190623,Median_190623,Higher_190623,Min_260623,Median_260623,Higher_260623
109,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,2.26,5.95,13.04,2.24,5.88,12.9,3.9,9.78,20.3,3.95,9.89,20.53
110,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,2.26,5.95,13.04,2.24,5.88,12.9,3.9,9.78,20.3,2.21,5.82,12.76
111,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,2.26,5.95,13.04,2.24,5.88,12.9,2.19,5.76,12.62,3.95,9.89,20.53
112,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,2.26,5.95,13.04,2.24,5.88,12.9,2.19,5.76,12.62,2.21,5.82,12.76
113,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,4.03,10.11,20.97,3.99,10.0,20.75,3.9,9.78,20.3,3.95,9.89,20.53
114,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,4.03,10.11,20.97,3.99,10.0,20.75,3.9,9.78,20.3,2.21,5.82,12.76
115,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,4.03,10.11,20.97,3.99,10.0,20.75,2.19,5.76,12.62,3.95,9.89,20.53
116,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,4.03,10.11,20.97,3.99,10.0,20.75,2.19,5.76,12.62,2.21,5.82,12.76
117,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,4.03,10.11,20.97,2.24,5.88,12.9,3.9,9.78,20.3,3.95,9.89,20.53
118,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,4.03,10.11,20.97,2.24,5.88,12.9,3.9,9.78,20.3,2.21,5.82,12.76
119,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,4.03,10.11,20.97,2.24,5.88,12.9,2.19,5.76,12.62,3.95,9.89,20.53
120,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,4.03,10.11,20.97,2.24,5.88,12.9,2.19,5.76,12.62,2.21,5.82,12.76
121,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,2.26,5.95,13.04,3.99,10.0,20.75,3.9,9.78,20.3,3.95,9.89,20.53
122,Santana,Caravanserai,3.99,10.0,20.75,2.24,5.88,12.9,2.26,5.95,13.04,3.99,10.0,20.75,3.9,9.78,20.3,2.21,5.82,12.76
